x,y,u
0.00505050505050505,0,0.0449444117996753
0.0151515151515152,0,0.0610739809783101
0.0252525252525253,0,0.0696707292832381
0.0353535353535354,0,0.0644327807812504
0.0454545454545455,0,0.0529015141562909
0.0555555555555556,0,0.0546963650109247
0.0656565656565657,0,0.0730278036230969
0.0757575757575758,0,0.0885762189607837
0.0858585858585859,0,0.0915893518507095
0.095959595959596,0,0.0878612995243756
0.106060606060606,0,0.0917452259084676
0.116161616161616,0,0.10384947553878
0.126262626262626,0,0.110534314238762
0.136363636363636,0,0.105602261369856
0.146464646464646,0,0.0959348805692787
0.156565656565657,0,0.0927169397496282
0.166666666666667,0,0.097940303933644
0.176767676767677,0,0.105973107279214
0.186868686868687,0,0.113609371271591
0.196969696969697,0,0.12134606128147
0.207070707070707,0,0.13205123069756
0.217171717171717,0,0.148029537754792
0.227272727272727,0,0.166219007184646
0.237373737373737,0,0.179709391077946
0.247474747474747,0,0.184523351124496
0.257575757575758,0,0.18307515666497
0.267676767676768,0,0.182110004217538
0.277777777777778,0,0.18865662591758
0.287878787878788,0,0.207280858517739
0.297979797979798,0,0.237982980193987
0.308080808080808,0,0.275625280912978
0.318181818181818,0,0.313059392386692
0.328282828282828,0,0.344917398463763
0.338383838383838,0,0.368907937731401
0.348484848484848,0,0.385768726351012
0.358585858585859,0,0.400233821022465
0.368686868686869,0,0.421786482843734
0.378787878787879,0,0.460548502238243
0.388888888888889,0,0.518953305582783
0.398989898989899,0,0.588808122663546
0.409090909090909,0,0.656736582160094
0.419191919191919,0,0.710809158408532
0.429292929292929,0,0.744634290433779
0.439393939393939,0,0.759411544084688
0.449494949494949,0,0.763479149614368
0.45959595959596,0,0.76795145764001
0.46969696969697,0,0.77970774358947
0.47979797979798,0,0.797177652092983
0.48989898989899,0,0.812783475073818
0.5,0,0.818962501038834
0.51010101010101,0,0.812681876993239
0.52020202020202,0,0.797026338937512
0.53030303030303,0,0.779581929147155
0.54040404040404,0,0.767903262985259
0.55050505050505,0,0.76350384859145
0.560606060606061,0,0.759456803280521
0.570707070707071,0,0.744640710526478
0.580808080808081,0,0.710744304735862
0.590909090909091,0,0.656605752490492
0.601010101010101,0,0.588647971556115
0.611111111111111,0,0.518816248471826
0.621212121212121,0,0.460478763308196
0.631313131313131,0,0.42179273491219
0.641414141414141,0,0.400284338178704
0.651515151515152,0,0.385820929007782
0.661616161616162,0,0.368937658687855
0.671717171717172,0,0.344925123717773
0.681818181818182,0,0.313062777904036
0.691919191919192,0,0.275648709989672
0.702020202020202,0,0.238046386948776
0.712121212121212,0,0.207388321485751
0.722222222222222,0,0.188792771669263
0.732323232323232,0,0.182252548687407
0.742424242424242,0,0.183209634434082
0.752525252525253,0,0.184645339112852
0.762626262626263,0,0.179821070137824
0.772727272727273,0,0.166325156487268
0.782828282828283,0,0.148132210081046
0.792929292929293,0,0.132145781131262
0.803030303030303,0,0.121422671053763
0.813131313131313,0,0.113656300501998
0.823232323232323,0,0.105980319706813
0.833333333333333,0,0.0979078890899179
0.843434343434343,0,0.0926542583980602
0.853535353535354,0,0.0958443181232689
0.863636363636364,0,0.105478618744871
0.873737373737374,0,0.110384799054422
0.883838383838384,0,0.103696928385892
0.893939393939394,0,0.0916087921265465
0.904040404040404,0,0.0877328260739018
0.914141414141414,0,0.0914468587960311
0.924242424242424,0,0.0884219224691156
0.934343434343434,0,0.0728824483156787
0.944444444444445,0,0.0545776011533114
0.954545454545455,0,0.0528061765418282
0.964646464646465,0,0.0643393700707723
0.974747474747475,0,0.0695829023839476
0.984848484848485,0,0.0610033524924585
0.994949494949495,0,0.0449007560530289
