x,y,u,frequency
0.24444444444387164,0.0,0.8737085630406642,2500000000.0
0.2424242424236755,0.0,0.8690213550376945,2500000000.0
0.2525252525246561,0.0,0.8975925671544919,2500000000.0
0.24646464646406774,0.0,0.8789210707822473,2500000000.0
0.24848484848426383,0.0,0.8846499463068955,2500000000.0
0.25050505050446,0.0,0.8908804575351402,2500000000.0
0.2323232323226949,0.0,0.8534849701104678,2500000000.0
0.23434343434289104,0.0,0.8555632011105178,2500000000.0
0.23636363636308716,0.0,0.8581438230645226,2500000000.0
0.23838383838328325,0.0,0.8612416672408084,2500000000.0
0.24040404040347937,0.0,0.8648658700999957,2500000000.0
0.2626262626256367,0.0,0.9374723486128834,2500000000.0
0.2545454545448522,0.0,0.9047671488125307,2500000000.0
0.2565656565650483,0.0,0.9123740358442448,2500000000.0
0.25858585858524447,0.0,0.9203835049987831,2500000000.0
0.26060606060544056,0.0,0.9287620247315409,2500000000.0
0.2222222222217143,0.0,0.8498520158570448,2500000000.0
0.22424242424191046,0.0,0.849770412821973,2500000000.0
0.22626262626210653,0.0,0.85006151051949,2500000000.0
0.22828282828230267,0.0,0.8507583292144005,2500000000.0
0.23030303030249877,0.0,0.8518903384399507,2500000000.0
0.2727272727266173,0.0,0.9846161835504453,2500000000.0
0.26464646464583286,0.0,0.9464802445337491,2500000000.0
0.26666666666602895,0.0,0.9557407998072824,2500000000.0
0.26868686868622504,0.0,0.9652129519985476,2500000000.0
0.2707070707064212,0.0,0.9748534253875981,2500000000.0
0.2121212121207337,0.0,0.8545729474541945,2500000000.0
0.21414141414092985,0.0,0.8531817024802905,2500000000.0
0.21616161616112595,0.0,0.8519745913041492,2500000000.0
0.21818181818132207,0.0,0.8509911975551548,2500000000.0
0.2202020202015182,0.0,0.8502705831914937,2500000000.0
0.282828282827598,0.0,1.0337187525528357,2500000000.0
0.27474747474681344,0.0,0.9944609462033293,2500000000.0
0.27676767676700953,0.0,1.0043388038493621,2500000000.0
0.2787878787872057,0.0,1.0142046593817788,2500000000.0
0.2808080808074018,0.0,1.024013289917866,2500000000.0
0.202020202019753,0.0,0.862938728208531,2500000000.0
0.20404040403994914,0.0,0.8612007603629859,2500000000.0
0.20606060606014528,0.0,0.8594595735311357,2500000000.0
0.2080808080803414,0.0,0.8577498300246825,2500000000.0
0.21010101010053758,0.0,0.8561080865114256,2500000000.0
0.2929292929285786,0.0,1.0791799604863406,2500000000.0
0.2848484848477941,0.0,1.043279658760289,2500000000.0
0.2868686868679902,0.0,1.0526488377469947,2500000000.0
0.28888888888818637,0.0,1.0617835992726892,2500000000.0
0.29090909090838246,0.0,1.0706415000202278,2500000000.0
0.1919191919187724,0.0,0.8705069098548005,2500000000.0
0.19393939393896853,0.0,0.8692316529682845,2500000000.0
0.19595959595916462,0.0,0.8678131759501264,2500000000.0
0.19797979797936077,0.0,0.8662739914642121,2500000000.0
0.19999999999955687,0.0,0.8646396692473405,2500000000.0
0.3030303030295592,0.0,1.1157077857137374,2500000000.0
0.29494949494877476,0.0,1.087360750953802,2500000000.0
0.2969696969689708,0.0,1.0951420098114426,2500000000.0
0.29898989898916695,0.0,1.102485281702417,2500000000.0
0.30101010100936304,0.0,1.1093529726490707,2500000000.0
0.1818181818177918,0.0,0.8741418019160366,2500000000.0
0.18383838383798792,0.0,0.8738206175960027,2500000000.0
0.18585858585818404,0.0,0.8732874750693084,2500000000.0
0.18787878787838017,0.0,0.8725497834002407,2500000000.0
0.1898989898985763,0.0,0.8716182497130507,2500000000.0
0.3131313131305398,0.0,1.1386073103463883,2500000000.0
0.30505050504975534,0.0,1.1215165105217433,2500000000.0
0.30707070706995143,0.0,1.1267431109776171,2500000000.0
0.3090909090901476,0.0,1.1313547935229455,2500000000.0
0.31111111111034373,0.0,1.1353198304616234,2500000000.0
0.1717171717168112,0.0,0.8725141540115441,2500000000.0
0.17373737373700732,0.0,0.8732602454957822,2500000000.0
0.17575757575720344,0.0,0.8738021426840238,2500000000.0
0.17777777777739956,0.0,0.8741322208752136,2500000000.0
0.17979797979759568,0.0,0.8742459056343849,2500000000.0
0.3232323232315205,0.0,1.1439202284414032,2500000000.0
0.31515151515073603,0.0,1.1411896950705598,2500000000.0
0.31717171717093207,0.0,1.1430375945641233,2500000000.0
0.3191919191911282,0.0,1.1441250309811015,2500000000.0
0.32121212121132436,0.0,1.144427171976285,2500000000.0
0.1616161616158306,0.0,0.8661716501669269,2500000000.0
0.1636363636360267,0.0,0.8677318653042534,2500000000.0
0.16565656565622283,0.0,0.8691656326312631,2500000000.0
0.16767676767641895,0.0,0.8704523002048327,2500000000.0
0.16969696969661507,0.0,0.8715736576069368,2500000000.0
0.3333333333325011,0.0,1.128562682118298,2500000000.0
0.32525252525171666,0.0,1.142584041244945,2500000000.0
0.3272727272719127,0.0,1.1403973312655304,2500000000.0
0.32929292929210885,0.0,1.1373421369886523,2500000000.0
0.33131313131230494,0.0,1.1334021479344214,2500000000.0
0.15151515151485,0.0,0.8573479664474162,2500000000.0
0.15353535353504613,0.0,0.8591553402035057,2500000000.0
0.15555555555524225,0.0,0.8609715421239518,2500000000.0
0.15757575757543835,0.0,0.8627652826405164,2500000000.0
0.15959595959563447,0.0,0.8645076159484955,2500000000.0
0.3434343434334817,0.0,1.0905310667003265,2500000000.0
0.3353535353526972,0.0,1.1228128340454886,2500000000.0
0.33737373737289333,0.0,1.116141187505124,2500000000.0
0.3393939393930895,0.0,1.108540242376172,2500000000.0
0.34141414141328563,0.0,1.100004565629134,2500000000.0
