x,y,mag_u,real_u,imag_u
0.00505050505050505,0,0.0788089133700721,-0.077201332904792,-0.0158366355105815
0.0151515151515152,0,0.10765747153878,-0.0980675991335176,0.0444170820553413
0.0252525252525253,0,0.123606466488389,-0.0864746831377027,0.0883215021044098
0.0353535353535354,0,0.115135271625249,-0.0456863852982186,0.105682945504952
0.0454545454545455,0,0.0958997750210036,0.0149636471952595,0.0947251609219795
0.0555555555555556,0,0.0992993814775572,0.0800530856535227,0.0587526224025378
0.0656565656565657,0,0.129560430732154,0.12948364328668,0.00445997003454905
0.0757575757575758,0,0.154675671649484,0.143462517533157,-0.057819282797937
0.0858585858585859,0,0.15898182391899,0.110890190640518,-0.113923597012727
0.095959595959596,0,0.152740005114444,0.0366661366294868,-0.148273745440749
0.106060606060606,0,0.159819124875922,-0.0575319338450033,-0.149104759361195
0.116161616161616,0,0.1813859446272,-0.141227261932223,-0.113823202359752
0.126262626262626,0,0.195199821390561,-0.188473163473738,-0.0508019381629145
0.136363636363636,0,0.190664626771739,-0.189137544744156,0.0240829622380392
0.146464646464646,0,0.178518985220258,-0.151530395323392,0.094379909817754
0.156565656565657,0,0.177011017423686,-0.0950550507933878,0.14932326546133
0.166666666666667,0,0.18968781614773,-0.0378328070874783,0.185876696502754
0.176767676767677,0,0.206420273674573,0.0127908444146178,0.206023599820619
0.186868686868687,0,0.22062769216758,0.0612625593635302,0.211951592047388
0.196969696969697,0,0.233993033319926,0.116637620751324,0.202850696493086
0.207070707070707,0,0.253373870279552,0.182826693652704,0.175421544368016
0.217171717171717,0,0.28338555822962,0.253197177959105,0.127273578116821
0.227272727272727,0,0.318851432372103,0.313083540887518,0.0603732751395515
0.237373737373737,0,0.348744276366937,0.348273610727022,-0.0181124920941692
0.247474747474747,0,0.367080735359117,0.353688600574408,-0.0982478503352975
0.257575757575758,0,0.377807716861069,0.33663370959404,-0.171512146755643
0.267676767676768,0,0.390750742390291,0.312724203415777,-0.234285542184171
0.277777777777778,0,0.414463276921802,0.297217068961811,-0.288862981073222
0.287878787878788,0,0.452800251882192,0.297054428509454,-0.341740741802172
0.297979797979798,0,0.505070689593088,0.308110441749814,-0.400205393730234
0.308080808080808,0,0.56688679217224,0.318796200135457,-0.468753259101764
0.318181818181818,0,0.632237950206522,0.317546206064061,-0.546707629995837
0.328282828282828,0,0.695869535766075,0.299854162618851,-0.627950548982514
0.338383838383838,0,0.753574690527509,0.271204956855627,-0.703080852804689
0.348484848484848,0,0.801717513146499,0.244735623469336,-0.763449700694736
0.358585858585859,0,0.839126918867306,0.235207000756299,-0.805488456008504
0.368686868686869,0,0.870500969720987,0.252473391411369,-0.833084104346266
0.378787878787879,0,0.906428666624701,0.297497926790914,-0.856217210311812
0.388888888888889,0,0.957132799529693,0.362408998122984,-0.88586845186802
0.398989898989899,0,1.02405449292101,0.43406838796584,-0.927508619388755
0.409090909090909,0,1.09694296904644,0.499140573775803,-0.976802213834089
0.419191919191919,0,1.15833422866182,0.548328396338888,-1.02033041464909
0.429292929292929,0,1.19116639057877,0.578246958331307,-1.04139705454983
0.439393939393939,0,1.18563392655254,0.590767614150695,-1.02796956854913
0.449494949494949,0,1.14304956042438,0.590805979490894,-0.978524701877356
0.45959595959596,0,1.07526860241212,0.583922816653001,-0.902904597133798
0.46969696969697,0,0.999975318330159,0.574729003508597,-0.818313637791475
0.47979797979798,0,0.934401113565629,0.566346744053928,-0.743207108773996
0.48989898989899,0,0.890838839605398,0.560593387265814,-0.692335823356941
0.5,0,0.875684602626876,0.558390625511504,-0.674554247350545
0.51010101010101,0,0.890737555583123,0.559869695479587,-0.692790961986219
0.52020202020202,0,0.934288802396373,0.56501982006428,-0.744075378720314
0.53030303030303,0,0.99996609396613,0.573011298698141,-0.819506095551551
0.54040404040404,0,1.07541930557717,0.582067157532359,-0.904281210094669
0.55050505050505,0,1.14331821810677,0.589042048853622,-0.979901021806366
0.560606060606061,0,1.18589198414839,0.589242784083978,-1.02914174896968
0.570707070707071,0,1.19124598395184,0.576989844138622,-1.04218506707891
0.580808080808081,0,1.15808704520466,0.547249787046246,-1.02062886244153
0.590909090909091,0,1.09629624634722,0.498075555044278,-0.976619783345765
0.601010101010101,0,1.02305527569543,0.432847764222823,-0.926976218754048
