tx_x,tx_y,x,y,real_u,imag_u
-0.1,0,0.487938524157182,0.0684040286651338,0.000146444511664061,0.00068271916567424
-0.1,0,0.469144671741464,0.0615636257986204,0.000835063424337902,0.00168449716579422
-0.1,0,0.450350819325745,0.054723222932107,0.0015862227605388,0.00337050080533483
-0.1,0,0.431556966910027,0.0478828200655936,0.00295572895759317,0.00252757197447718
-0.1,0,0.412763114494309,0.0410424171990803,0.00486454237958129,0.000120252403456919
-0.1,0,0.393969262078591,0.0342020143325669,0.00601650397591186,-0.000445613162780948
-0.1,0,0.375175409662873,0.0273616114660535,0.0062599865606764,-0.000516663880789837
-0.1,0,0.356381557247155,0.0205212085995401,0.0068902170659515,-0.00376068471883417
-0.1,0,0.337587704831436,0.0136808057330268,0.00777534694499646,-0.00719827400265069
-0.1,0,0.318793852415718,0.00684040286651338,0.00721589278524616,-0.00748766927835018
-0.1,0,0.3,1.89859319002877e-17,0.00571176514234438,-0.00812214263510944
-0.1,0,0.1,0,0.0142737395664261,-0.00459937665232836
-0.1,0,0.08,0,0.0124203731239445,-0.0072413638884799
-0.1,0,0.06,0,0.0094247103268314,-0.00856267258847915
-0.1,0,0.04,0,0.00659079796313546,-0.0102916319900135
-0.1,0,0.02,0,0.00483409731169218,-0.0106825131053687
-0.1,0,0,0,0.00384827170039531,-0.00886364242267677
-0.1,0,-0.02,0,0.00299385512039851,-0.00733111244445663
-0.1,0,-0.04,0,0.0022152724213266,-0.00699329755839528
-0.1,0,-0.06,0,0.00167447881363508,-0.00563384982400326
-0.1,0,-0.08,0,0.00122596680262612,-0.00304320079567664
-0.1,0,-0.1,0,0.000785015254335333,-0.00187371028396467
-0.1,0,-0.3,1.89859319002877e-17,0.00211318446455839,0.00703591532396971
-0.1,0,-0.318793852415718,0.00684040286651338,0.00048091937207352,0.00792650325183443
-0.1,0,-0.337587704831436,0.0136808057330268,0.000757374793476305,0.00984962824033538
-0.1,0,-0.356381557247155,0.0205212085995401,0.00105288368157093,0.00855862960041543
-0.1,0,-0.375175409662873,0.0273616114660535,-0.00184454766202312,0.00680550046054775
-0.1,0,-0.393969262078591,0.0342020143325669,-0.00447014494813325,0.00778968237394841
-0.1,0,-0.412763114494309,0.0410424171990803,-0.00410857449109219,0.00728089202217037
-0.1,0,-0.431556966910027,0.0478828200655936,-0.00504740283834819,0.00317393446786879
-0.1,0,-0.450350819325745,0.054723222932107,-0.00832378477581266,0.000221300945493264
-0.1,0,-0.469144671741464,0.0615636257986204,-0.00755603924187715,-0.000114596594114391
-0.1,0,-0.487938524157182,0.0684040286651338,-0.00337459989534092,-0.00256783557405436
0.1,0,0.487938524157182,0.0684040286651338,0.000970187415029572,-0.00518022543542001
0.1,0,0.469144671741464,0.0615636257986204,-0.00431222390969067,-0.00798679501431641
0.1,0,0.450350819325745,0.054723222932107,-0.00486812198680231,-0.00751945996268219
0.1,0,0.431556966910027,0.0478828200655936,-0.0057150612713003,-0.0014147375037576
0.1,0,0.412763114494309,0.0410424171990803,-0.0082498784060433,0.00202404137835765
0.1,0,0.393969262078591,0.0342020143325669,-0.00685025525110528,0.00103978560321314
0.1,0,0.375175409662873,0.0273616114660535,-0.00347946688337626,0.00242884450095454
0.1,0,0.356381557247155,0.0205212085995401,-0.00386312856184621,0.00549549585930947
0.1,0,0.337587704831436,0.0136808057330268,-0.00456324192810968,0.00413996057259473
0.1,0,0.318793852415718,0.00684040286651338,-0.00187238062014324,0.00165895632882265
0.1,0,0.3,1.89859319002877e-17,-0.000607655480825919,0.00237393293712007
0.1,0,0.1,0,0.00929896594249337,-0.00367255211691809
0.1,0,0.08,0,0.00949279534455396,-0.00753244614231265
0.1,0,0.06,0,0.00915542147581488,-0.00985935026627404
0.1,0,0.04,0,0.00837373404812985,-0.0103896417955603
0.1,0,0.02,0,0.00810874099620686,-0.0116180403564955
0.1,0,0,0,0.00838897724528921,-0.0133698450783044
0.1,0,-0.02,0,0.0087977671468341,-0.0130390552686403
0.1,0,-0.04,0,0.00975921053045348,-0.0110157322289919
0.1,0,-0.06,0,0.0118205169233102,-0.00969672257689123
0.1,0,-0.08,0,0.0137525626858868,-0.00822334554898145
0.1,0,-0.1,0,0.0140618693829146,-0.00416419628222198
0.1,0,-0.3,1.89859319002877e-17,0.000385045397247372,-0.00266533117839118
0.1,0,-0.318793852415718,0.00684040286651338,0.00125361165337245,-0.00355853456755834
0.1,0,-0.337587704831436,0.0136808057330268,-0.00138591635629657,-0.00307958475803106
0.1,0,-0.356381557247155,0.0205212085995401,-0.0024421284646247,-0.000127765745786794
0.1,0,-0.375175409662873,0.0273616114660535,-0.000783748687011461,-0.000725531193387361
0.1,0,-0.393969262078591,0.0342020143325669,-0.00170204031513945,-0.0032022313693087
0.1,0,-0.412763114494309,0.0410424171990803,-0.00374607073983995,-0.00244904326077756
0.1,0,-0.431556966910027,0.0478828200655936,-0.00194925852319899,-0.00238513577842446
0.1,0,-0.450350819325745,0.054723222932107,0.000763248018590819,-0.00604855075643661
0.1,0,-0.469144671741464,0.0615636257986204,0.00117957400091505,-0.00700337592022219
0.1,0,-0.487938524157182,0.0684040286651338,0.00338348770683455,-0.0029243287580093
