tx_x,tx_y,x,y,real_u,imag_u
-0.1,0,0.487938524157182,0.0684040286651338,-0.00103606936417888,0.000913316149709295
-0.1,0,0.469144671741464,0.0615636257986204,0.00121595458083303,0.000741880708671995
-0.1,0,0.450350819325745,0.054723222932107,0.00179766094142661,0.0027215528342507
-0.1,0,0.431556966910027,0.0478828200655936,0.00298083294859875,0.00239520260759925
-0.1,0,0.412763114494309,0.0410424171990803,0.00386451977341697,0.000713674493407554
-0.1,0,0.393969262078591,0.0342020143325669,0.00686192379572167,-0.00144438092331105
-0.1,0,0.375175409662873,0.0273616114660535,0.00652255919190435,-0.00226365222729873
-0.1,0,0.356381557247155,0.0205212085995401,0.00666597043089051,-0.00484725142596992
-0.1,0,0.337587704831436,0.0136808057330268,0.00779251024166403,-0.00694819985685713
-0.1,0,0.318793852415718,0.00684040286651338,0.00701944254104066,-0.00719422328311176
-0.1,0,0.3,1.89859319002877e-17,0.00439941537855034,-0.0077834629471884
-0.1,0,0.1,0,0.0140595518530611,-0.00469706710227844
-0.1,0,0.08,0,0.011796995261491,-0.00710362955068643
-0.1,0,0.06,0,0.00869047876358839,-0.00891970314668759
-0.1,0,0.04,0,0.00572370122275048,-0.00964526822370326
-0.1,0,0.02,0,0.00443402383546434,-0.0117035431525925
-0.1,0,0,0,0.00234664905029144,-0.00852245072406652
-0.1,0,-0.02,0,0.00371685667029433,-0.00796749439122241
-0.1,0,-0.04,0,0.00260522552850836,-0.00724440354025804
-0.1,0,-0.06,0,0.00165946146668552,-0.00521936007032646
-0.1,0,-0.08,0,0.00119989463712266,-0.00226406656129914
-0.1,0,-0.1,0,0.000186533715434244,-0.00271174165000502
-0.1,0,-0.3,1.89859319002877e-17,0.00287701827894761,0.00798118641733303
-0.1,0,-0.318793852415718,0.00684040286651338,0.00038102982100129,0.00842149386602605
-0.1,0,-0.337587704831436,0.0136808057330268,0.000221603530185578,0.00979874107671618
-0.1,0,-0.356381557247155,0.0205212085995401,0.00206618402498195,0.00841224822546413
-0.1,0,-0.375175409662873,0.0273616114660535,-0.0020130862049087,0.00664233418006721
-0.1,0,-0.393969262078591,0.0342020143325669,-0.00491181255560209,0.00756240526034983
-0.1,0,-0.412763114494309,0.0410424171990803,-0.00432883774117071,0.00729817216503533
-0.1,0,-0.431556966910027,0.0478828200655936,-0.00568319757138423,0.00321239316442273
-0.1,0,-0.450350819325745,0.054723222932107,-0.00916368291506577,0.00084070195485494
-0.1,0,-0.469144671741464,0.0615636257986204,-0.00566198617776977,0.00103036588602847
-0.1,0,-0.487938524157182,0.0684040286651338,-0.00213326946358574,-0.00221773231776974
0.1,0,0.487938524157182,0.0684040286651338,0.000802169074651509,-0.00618224560202144
0.1,0,0.469144671741464,0.0615636257986204,-0.00381133327953192,-0.0087462832859596
0.1,0,0.450350819325745,0.054723222932107,-0.00472132378656361,-0.00811322007782146
0.1,0,0.431556966910027,0.0478828200655936,-0.00654009145285479,-0.0018215912721833
0.1,0,0.412763114494309,0.0410424171990803,-0.00748937991823788,0.00176720237613364
0.1,0,0.393969262078591,0.0342020143325669,-0.00660424307827582,0.00104977556213412
0.1,0,0.375175409662873,0.0273616114660535,-0.00337116728924099,1.92519518236881e-06
0.1,0,0.356381557247155,0.0205212085995401,-0.00345032299189104,0.0051293444162125
0.1,0,0.337587704831436,0.0136808057330268,-0.00435380815022236,0.00513538661869668
0.1,0,0.318793852415718,0.00684040286651338,-0.00262668112358698,0.000804335444364872
0.1,0,0.3,1.89859319002877e-17,-0.00073771733847837,0.00312201819226712
0.1,0,0.1,0,0.00918194974574856,-0.00339188158971334
0.1,0,0.08,0,0.0090665579422006,-0.00755568500883961
0.1,0,0.06,0,0.0105030909015688,-0.00971317305781288
0.1,0,0.04,0,0.00767211634230025,-0.0116435349247082
0.1,0,0.02,0,0.00772111757466393,-0.0116857717807556
0.1,0,0,0,0.0078185327347571,-0.0120847937508385
0.1,0,-0.02,0,0.0078570105469028,-0.0129602609010438
0.1,0,-0.04,0,0.00960519188318863,-0.010982584476315
0.1,0,-0.06,0,0.0116009370647561,-0.0102849249145198
0.1,0,-0.08,0,0.0149784277000381,-0.00824803292374409
0.1,0,-0.1,0,0.013862355492803,-0.00397804427227876
0.1,0,-0.3,1.89859319002877e-17,-0.000467582160043672,-0.00232371757238912
0.1,0,-0.318793852415718,0.00684040286651338,0.00253827116128524,-0.00385722184488691
0.1,0,-0.337587704831436,0.0136808057330268,-0.000396714893223909,-0.00326902767588698
0.1,0,-0.356381557247155,0.0205212085995401,-0.00262610081227872,0.0014935769252024
0.1,0,-0.375175409662873,0.0273616114660535,-0.00199045521198173,-0.00253488146659515
0.1,0,-0.393969262078591,0.0342020143325669,-0.00205826766996257,-0.00141604186857674
0.1,0,-0.412763114494309,0.0410424171990803,-0.00387100773345523,-0.00217859364043077
0.1,0,-0.431556966910027,0.0478828200655936,-0.0017280778857964,-0.00158390605944005
0.1,0,-0.450350819325745,0.054723222932107,0.000554008669927602,-0.00738184770050201
0.1,0,-0.469144671741464,0.0615636257986204,0.00153483520874203,-0.00747610039738296
0.1,0,-0.487938524157182,0.0684040286651338,0.00369746589810515,-0.00314710848043143
