x,y,mag_u,real_u,imag_u
0.00505050505050505,0,0.0526087100619123,-0.0903541271665892,-0.0152143591068651
0.0151515151515152,0,0.0705747000984139,-0.0477842310407166,0.0185963978804942
0.0252525252525253,0,0.0803404683594069,-0.0591029363511402,0.0182262688251622
0.0353535353535354,0,0.0760861369948178,-0.022560105383635,0.0861002132313373
0.0454545454545455,0,0.063619650860508,0.00222561507993961,0.0827864907319462
0.0555555555555556,0,0.0652684106209311,0.054835241079581,0.0465719271635033
0.0656565656565657,0,0.0924768364832221,0.0580095617530843,0.036519686737752
0.0757575757575758,0,0.119453640068646,0.0927495007136613,-0.0266429791605662
0.0858585858585859,0,0.128099131908585,0.0885444083641742,-0.0754523414023433
0.095959595959596,0,0.123770851722693,0.0410420268167687,-0.115085412251861
0.106060606060606,0,0.128149754070941,-0.0185519671900296,-0.11070547614232
0.116161616161616,0,0.143560132618339,-0.121077179680719,-0.0841655436456578
0.126262626262626,0,0.148558188112528,-0.117822216760403,0.0338473847253002
0.136363636363636,0,0.133752334942934,-0.119397728355474,0.00565059512070908
0.146464646464646,0,0.110920647265822,-0.0574460060328729,0.0317277715824698
0.156565656565657,0,0.0967402409800986,-0.0325085280914064,0.0646959208899244
0.166666666666667,0,0.0923965154447316,-0.0218789423364584,0.0678003510324894
0.176767676767677,0,0.0947178326620067,-0.0343773286358582,0.0850660607003665
0.186868686868687,0,0.107415613330112,0.00257847909335996,0.103666277785802
0.196969696969697,0,0.127415344575465,0.034809914448899,0.121469161085246
0.207070707070707,0,0.14986974879155,0.0551213723422996,0.14864887852159
0.217171717171717,0,0.175093776933184,0.112590497835558,0.131655352359715
0.227272727272727,0,0.198438257413905,0.17424901409058,0.0977979398882936
0.237373737373737,0,0.208256700009154,0.182718746844876,0.0614538392684375
0.247474747474747,0,0.197215646789767,0.183428358560335,-0.0060718934497781
0.257575757575758,0,0.169132345298911,0.152301911220933,-0.0931047400730158
0.267676767676768,0,0.136681319813401,0.121471608200763,-0.116380549159747
0.277777777777778,0,0.120629810261785,0.111490384752869,-0.0224108223193024
0.287878787878788,0,0.144953902545563,0.157337011481406,-0.0594978878158148
0.297979797979798,0,0.202121726255753,0.204081039449493,-0.0123097788422442
0.308080808080808,0,0.263185353447055,0.300925823422201,-0.0360583902761154
0.318181818181818,0,0.304928992586198,0.301265264927244,-0.0301862091971464
0.328282828282828,0,0.314506970566222,0.33085429114811,-0.121492002332269
0.338383838383838,0,0.289825495271777,0.242403546808947,-0.142375942411408
0.348484848484848,0,0.242344522422131,0.234541571817231,-0.0900235367868787
0.358585858585859,0,0.21325534033802,0.207102631771726,-0.00702896948029621
0.368686868686869,0,0.26528411109243,0.259866991450484,0.0995463109216848
0.378787878787879,0,0.380272381200295,0.333215109320199,0.191897380503181
0.388888888888889,0,0.494402776514335,0.358117994631661,0.253906836436376
0.398989898989899,0,0.559860056584172,0.435611569937004,0.318661077088701
0.409090909090909,0,0.546092081808465,0.42025301414167,0.276162687819256
0.419191919191919,0,0.446840329551353,0.346544904697546,0.26977144737791
0.429292929292929,0,0.32766377507382,0.144334623903288,0.337654359067351
0.439393939393939,0,0.436009570277281,-0.218980880625643,0.37184399686817
0.449494949494949,0,0.794732381693056,-0.581264436808072,0.518807732839685
0.45959595959596,0,1.23556602140284,-0.994287530316647,0.736768853390117
0.46969696969697,0,1.66986258975851,-1.40836980672091,0.926199016958059
0.47979797979798,0,2.03292266674351,-1.68216585377695,1.15128528013798
0.48989898989899,0,2.27342285385985,-1.90636976198139,1.25631596772913
0.5,0,2.35769094877809,-1.92504001106937,1.33476665107744
0.51010101010101,0,2.27374598522791,-1.89077815449111,1.27796107334085
0.52020202020202,0,2.03354412909329,-1.65539117777736,1.12363883457435
0.53030303030303,0,1.67073091691076,-1.39548874968163,0.913618907529554
0.54040404040404,0,1.23659641249952,-0.994555525115439,0.693599201802753
0.55050505050505,0,0.79577963537938,-0.602056429284534,0.515984196395049
0.560606060606061,0,0.436714204624125,-0.257991242336266,0.371487072853506
0.570707070707071,0,0.327298418396072,0.0886038739615212,0.299016083164515
0.580808080808081,0,0.446076646686792,0.350224950825812,0.314580326254402
0.590909090909091,0,0.545435164161924,0.45033028033586,0.299324756549771
0.601010101010101,0,0.559404623915935,0.439785046111275,0.336917950976467
0.611111111111111,0,0.494146552846546,0.392601134311064,0.269099619652227
0.621212121212121,0,0.380191791626818,0.325580322240364,0.226867566968564
0.631313131313131,0,0.265388293472625,0.224632396863756,0.0861870579212008
0.641414141414141,0,0.213585705042319,0.234885391358871,-0.0087629892950739
0.651515151515152,0,0.242829547557761,0.209034787844583,-0.0738741200515221
0.661616161616162,0,0.290413062082587,0.299280616995682,-0.140453371411915
0.671717171717172,0,0.315184368912932,0.267434694156774,-0.1297502513265
0.681818181818182,0,0.30566524816486,0.29955108465763,-0.0350436027108996
0.691919191919192,0,0.263918697913439,0.227561897148334,-0.0153721003163682
0.702020202020202,0,0.202754275420014,0.186230522436533,-0.0228735319873933
0.712121212121212,0,0.145336494592622,0.131021464432036,-0.00361794228549548
0.722222222222222,0,0.120639213411173,0.122078621668524,-0.0498351517635832
0.732323232323232,0,0.136502309433045,0.141483055272544,-0.0483679803706471
0.742424242424242,0,0.168996673974723,0.163021843948949,-0.0326871915662131
0.752525252525253,0,0.197207101765083,0.186140308837683,-0.0686234414535819
0.762626262626263,0,0.208384911809989,0.225328059039338,0.0450981962898503
0.772727272727273,0,0.198676872976326,0.198974553773935,0.113869632841908
0.782828282828283,0,0.175397302565071,0.12730741374701,0.124466918000495
