tx_x,tx_y,rx_x,rx_y
-0.1,0,0.487938524157182,0.0684040286651338
-0.1,0,0.469144671741464,0.0615636257986204
-0.1,0,0.450350819325745,0.054723222932107
-0.1,0,0.431556966910027,0.0478828200655936
-0.1,0,0.412763114494309,0.0410424171990803
-0.1,0,0.393969262078591,0.0342020143325669
-0.1,0,0.375175409662873,0.0273616114660535
-0.1,0,0.356381557247155,0.0205212085995401
-0.1,0,0.337587704831436,0.0136808057330268
-0.1,0,0.318793852415718,0.00684040286651338
-0.1,0,0.3,1.89859319002877e-17
-0.1,0,0.1,0
-0.1,0,0.08,0
-0.1,0,0.06,0
-0.1,0,0.04,0
-0.1,0,0.02,0
-0.1,0,0,0
-0.1,0,-0.02,0
-0.1,0,-0.04,0
-0.1,0,-0.06,0
-0.1,0,-0.08,0
-0.1,0,-0.1,0
-0.1,0,-0.3,1.89859319002877e-17
-0.1,0,-0.318793852415718,0.00684040286651338
-0.1,0,-0.337587704831436,0.0136808057330268
-0.1,0,-0.356381557247155,0.0205212085995401
-0.1,0,-0.375175409662873,0.0273616114660535
-0.1,0,-0.393969262078591,0.0342020143325669
-0.1,0,-0.412763114494309,0.0410424171990803
-0.1,0,-0.431556966910027,0.0478828200655936
-0.1,0,-0.450350819325745,0.054723222932107
-0.1,0,-0.469144671741464,0.0615636257986204
-0.1,0,-0.487938524157182,0.0684040286651338
0.1,0,0.487938524157182,0.0684040286651338
0.1,0,0.469144671741464,0.0615636257986204
0.1,0,0.450350819325745,0.054723222932107
0.1,0,0.431556966910027,0.0478828200655936
0.1,0,0.412763114494309,0.0410424171990803
0.1,0,0.393969262078591,0.0342020143325669
0.1,0,0.375175409662873,0.0273616114660535
0.1,0,0.356381557247155,0.0205212085995401
0.1,0,0.337587704831436,0.0136808057330268
0.1,0,0.318793852415718,0.00684040286651338
0.1,0,0.3,1.89859319002877e-17
0.1,0,0.1,0
0.1,0,0.08,0
0.1,0,0.06,0
0.1,0,0.04,0
0.1,0,0.02,0
0.1,0,0,0
0.1,0,-0.02,0
0.1,0,-0.04,0
0.1,0,-0.06,0
0.1,0,-0.08,0
0.1,0,-0.1,0
0.1,0,-0.3,1.89859319002877e-17
0.1,0,-0.318793852415718,0.00684040286651338
0.1,0,-0.337587704831436,0.0136808057330268
0.1,0,-0.356381557247155,0.0205212085995401
0.1,0,-0.375175409662873,0.0273616114660535
0.1,0,-0.393969262078591,0.0342020143325669
0.1,0,-0.412763114494309,0.0410424171990803
0.1,0,-0.431556966910027,0.0478828200655936
0.1,0,-0.450350819325745,0.054723222932107
0.1,0,-0.469144671741464,0.0615636257986204
0.1,0,-0.487938524157182,0.0684040286651338
