x,y
0.5588235294121269,0.6
0.5470588235298077,0.6
0.5352941176474886,0.6
0.3452380952395326,1.0
0.3333333333347211,1.0
0.3571428571443441,1.0
0.2857142857154753,1.0
0.2738095238106638,1.0
0.2976190476202868,1.0
0.570588235294446,0.6
0.464705882353383,0.6
0.452941176471004,0.6
0.441176470588623,0.6
0.3214285714299097,1.0
0.5357142857161197,1.0
0.5238095238114404,1.0
0.5476190476207989,1.0
0.5119047619067612,1.0
0.50000000000206,1.0
0.4880952380972703,1.0
0.4761904761924587,1.0
0.5714285714301575,1.0
0.5595238095254782,1.0
0.5833333333348368,1.0
0.4642857142876473,1.0
0.4523809523828358,1.0
0.4404761904780243,1.0
0.428571428573213,1.0
0.6785714285722713,1.0
0.6666666666675919,1.0
0.6904761904769505,1.0
0.6547619047629126,1.0
0.4166666666684015,1.0
0.6428571428582333,1.0
0.40476190476359,1.0
0.5952380952395161,1.0
0.6071428571441955,1.0
0.7380952380956676,1.0
0.7261904761909883,1.0
0.714285714286309,1.0
0.630952380953554,1.0
0.6190476190488747,1.0
0.3928571428587785,1.0
0.3095238095250983,1.0
0.3809523809539671,1.0
0.3690476190491556,1.0
0.7023809523816298,1.0
0.4764705882357729,0.6
0.4882352941181603,0.6
0.4294117647062305,0.6
0.417647058823845,0.6
0.3,0.6
0.3117647058823899,0.6
0.3235294117647691,0.6
0.6176470588237226,0.6
0.6058823529414035,0.6
0.5941176470590843,0.6
0.5823529411767652,0.6
0.5235294117651694,0.6
0.5117647058828503,0.6
0.5000000000005311,0.6
0.3705882352943071,0.6
0.358823529411928,0.6
0.3470588235295374,0.6
0.3823529411766931,0.6
0.3352941176471481,0.6
0.405882352941466,0.6
0.3941176470590856,0.6
1.0,0.9404761904760336
1.0,0.9523809523808269
1.0,0.9642857142856202
1.0,0.6785714285705817
1.0,0.6904761904753749
1.0,0.7023809523801682
1.0,0.6666666666657884
1.0,0.6547619047609952
1.0,0.6428571428562019
1.0,0.6309523809514086
1.0,0.9285714285712403
1.0,0.6190476190466153
1.0,0.607142857141822
1.0,0.4285714285703195
1.0,0.4404761904750467
1.0,0.4523809523797739
1.0,0.4166666666655923
1.0,0.4047619047608651
1.0,0.3928571428561379
1.0,0.464285714284501
1.0,0.4761904761892283
0.7,0.6
0.7,0.5882352941176191
0.6882352941176808,0.6
1.0,0.9047619047616537
1.0,0.916666666666447
1.0,0.8928571428568605
1.0,0.8809523809520672
1.0,0.4880952380939554
1.0,0.4999999999986934
1.0,0.5119047619034759
1.0,0.8690476190472739
1.0,0.8571428571424807
0.7,0.541176470588095
0.7,0.5529411764704735
0.7,0.5294117647057102
1.0,0.5357142857130623
1.0,0.5476190476178556
1.0,0.5238095238082692
1.0,0.5595238095226489
0.7,0.564705882352857
1.0,0.8214285714281009
1.0,0.8333333333328942
1.0,0.8095238095233076
1.0,0.8452380952376874
0.7,0.5764705882352368
0.7,0.5176470588233331
1.0,0.738095238094548
1.0,0.7499999999993413
1.0,0.7261904761897547
1.0,0.7619047619041346
0.750000000000347,1.0
0.7380952380956676,1.0
0.7619047619050262,1.0
1.0,0.7738095238089278
1.0,0.5714285714274422
1.0,0.7142857142849615
1.0,0.7976190476185143
1.0,0.5833333333322355
1.0,0.785714285713721
0.8095238095237434,1.0
0.7976190476190641,1.0
0.7857142857143848,1.0
1.0,0.5952380952370288
0.8214285714284226,1.0
0.7738095238097055,1.0
0.833333333333102,1.0
0.8452380952377813,1.0
0.8571428571424605,1.0
0.869047619047145,1.0
0.8809523809518904,1.0
0.9880952380951885,1.0
0.976190476190377,1.0
1.0,1.0
0.9642857142855655,1.0
0.8928571428566967,1.0
1.0,0.9761904761904134
1.0,0.9880952380952067
0.9047619047615082,1.0
0.9166666666663197,1.0
0.9285714285711311,1.0
0.9404761904759426,1.0
0.952380952380754,1.0
0.6529411764706801,0.6
0.6411764705883609,0.6
0.6294117647060418,0.6
0.6647058823530145,0.6
0.6764705882353617,0.6
0.6176470588237226,0.6
0.3,0.4235294117647862
0.3,0.4117647058823873
0.2727272727266173,0.0
0.282828282827598,0.0
0.2626262626256367,0.0
0.2121212121207337,0.0
0.2222222222217143,0.0
0.202020202019753,0.0
0.2323232323226949,0.0
0.2929292929285786,0.0
0.0,0.0952380952384917
0.0,0.0833333333336802
0.0,0.1071428571433033
0.3040404040404041,0.4006345586699614
0.3080808080808081,0.4012684783931313
0.3,0.4
0.0,0.1904761904769835
0.0,0.178571428572172
0.0,0.1666666666673606
0.0,0.3452380952395326
0.0,0.3333333333347211
0.0,0.3571428571443441
0.0,0.3095238095250983
0.0,0.2976190476202868
0.0,0.3214285714299097
0.0,0.03571428571443458
0.0,0.02380952380962298
0.0,0.04761904761924585
0.0,0.2857142857154753
0.0,0.2738095238106638
0.0,0.01190476190481149
0.0,0.0
0.0,0.2619047619058524
0.0,0.2261904761914179
0.0,0.2142857142866065
0.0,0.202380952381795
0.0,0.1309523809529262
0.0,0.1190476190481148
0.0,0.3690476190491556
0.0,0.3809523809539671
0.0,0.05952380952405734
0.0,0.1428571428577377
0.0,0.1547619047625491
0.2525252525246561,0.0
0.2424242424236755,0.0
0.0,0.40476190476359
0.0,0.3928571428587785
0.0,0.4166666666684015
0.0,0.2500000000010408
0.0,0.2380952380962295
0.0,0.07142857142886894
0.1919191919187724,0.0
0.1818181818177918,0.0
0.1414141414138693,0.0
0.15151515151485,0.0
0.1313131313128882,0.0
0.1616161616158306,0.0
0.1717171717168112,0.0
0.1010101010099136,0.0
0.1111111111109082,0.0
0.09090909090891897,0.0
0.1212121212119015,0.0
0.08080808080792434,0.0
0.07070707070692972,0.0
0.3121212121212121,0.4019011208660836
0.05050505050494877,0.0
0.06060606060593743,0.0
0.04040404040396117,0.0
0.03030303030297262,0.0
0.02020202020198209,0.0
0.01010101010099096,0.0
0.0,0.5357142857161197
0.0,0.5238095238114404
0.0,0.5476190476207989
0.1071428571433033,1.0
0.0952380952384917,1.0
0.1190476190481148,1.0
0.0,0.5119047619067612
0.3,0.5176470588236787
0.3,0.5058823529414431
0.3,0.4941176470591124
0.3,0.5294117647059576
0.0,0.7023809523816298
0.0,0.6904761904769505
0.0,0.714285714286309
0.0833333333336802,1.0
0.3,0.4588235294119369
0.3,0.4470588235295616
0.3,0.470588235294337
0.0,0.428571428573213
0.0,0.4166666666684015
0.0,0.4404761904780243
0.3,0.4352941176471621
0.3,0.4235294117647862
0.0,0.4523809523828358
0.0,0.4642857142876473
