x,y,u
0.00505050505050505,0,0.0645887954895911
0.0151515151515152,0,0.0875640742017513
0.0252525252525253,0,0.0998619966247622
0.0353535353535354,0,0.0928389331869312
0.0454545454545455,0,0.0763878592757566
0.0555555555555556,0,0.0784517782196386
0.0656565656565657,0,0.106180302538959
0.0757575757575758,0,0.131004332832666
0.0858585858585859,0,0.136744320293653
0.095959595959596,0,0.130983672125397
0.106060606060606,0,0.135925229184605
0.116161616161616,0,0.15344313782103
0.126262626262626,0,0.16223981057237
0.136363636363636,0,0.152406654658614
0.146464646464646,0,0.134617603622486
0.156565656565657,0,0.126169722751197
0.166666666666667,0,0.13027438653878
0.176767676767677,0,0.139712615513397
0.186868686868687,0,0.151315546531544
0.196969696969697,0,0.165003082694729
0.207070707070707,0,0.182787769696237
0.217171717171717,0,0.207080845844535
0.227272727272727,0,0.233061992882492
0.237373737373737,0,0.249702820626302
0.247474747474747,0,0.250445972755749
0.257575757575758,0,0.239260831941081
0.267676767676768,0,0.22796676036171
0.277777777777778,0,0.230481114706879
0.287878787878788,0,0.257220037093168
0.297979797979798,0,0.307375461569447
0.308080808080808,0,0.36786353231239
0.318181818181818,0,0.422736116270175
0.328282828282828,0,0.461374796900859
0.338383838383838,0,0.480887948321236
0.348484848484848,0,0.486455623041103
0.358585858585859,0,0.493606563656943
0.368686868686869,0,0.527196552916327
0.378787878787879,0,0.60467635694013
0.388888888888889,0,0.717576269492843
0.398989898989899,0,0.839335746879188
0.409090909090909,0,0.944261676584912
0.419191919191919,0,1.01849840641771
0.429292929292929,0,1.06497137862563
0.439393939393939,0,1.10427637857598
0.449494949494949,0,1.16612226113097
0.45959595959596,0,1.26847330472155
0.46969696969697,0,1.40106809049981
0.47979797979798,0,1.53200054359006
0.48989898989899,0,1.62663515154674
0.5,0,1.66091662516731
0.51010101010101,0,1.6264073275949
0.52020202020202,0,1.53162885370691
0.53030303030303,0,1.40069217200201
0.54040404040404,0,1.26822923099335
0.55050505050505,0,1.16606342441465
0.560606060606061,0,1.1043348693496
0.570707070707071,0,1.06502003022659
0.580808080808081,0,1.01844811981774
0.590909090909091,0,0.94410017575306
0.601010101010101,0,0.839113595707472
0.611111111111111,0,0.717377256992584
0.621212121212121,0,0.604582228828602
0.631313131313131,0,0.527237880724858
0.641414141414141,0,0.49373091735753
0.651515151515152,0,0.486579950674278
0.661616161616162,0,0.480968978016171
0.671717171717172,0,0.461416888588872
0.681818181818182,0,0.422769882615708
0.691919191919192,0,0.367925962595543
0.702020202020202,0,0.307493791238013
0.712121212121212,0,0.257395736147942
0.722222222222222,0,0.230683246029667
0.732323232323232,0,0.228157559686363
0.742424242424242,0,0.239425294755086
0.752525252525253,0,0.250587729709331
0.762626262626263,0,0.249831848839401
0.772727272727273,0,0.233187111628047
0.782828282828283,0,0.207203209764372
0.792929292929293,0,0.182898038646254
0.803030303030303,0,0.165085840337037
0.813131313131313,0,0.151353236455872
0.823232323232323,0,0.139691168291823
0.833333333333333,0,0.13019773276705
0.843434343434343,0,0.126054711244845
0.853535353535354,0,0.134468586582079
0.863636363636364,0,0.152219051529761
0.873737373737374,0,0.162026127835335
0.883838383838384,0,0.153233522263319
0.893939393939394,0,0.135741757780944
0.904040404040404,0,0.130812161691913
0.914141414141414,0,0.136554499957232
0.924242424242424,0,0.130798426344787
0.934343434343434,0,0.105984390116195
0.944444444444445,0,0.07829020499176
0.954545454545455,0,0.076260073901524
0.964646464646465,0,0.0927155480920147
0.974747474747475,0,0.0997483011336689
0.984848484848485,0,0.0874746307316479
0.994949494949495,0,0.0645363128759898
