x,y
-0.056,0.689750326082652
-0.055,0.689752694714381
-0.054,0.689757129749565
-0.057,0.689751488156194
-0.03,0.692030422859113
-0.029,0.69223137287375
-0.028,0.692457387751727
-0.031,0.691834736841214
-0.065,0.68995068666094
-0.064,0.689908328897843
-0.063,0.689865971134745
-0.043,0.690264543785625
-0.042,0.690348635614103
-0.041,0.690433396758921
-0.044,0.690180451957147
-0.027,0.692703466789379
-0.026,0.692953386574587
-0.024,0.693516204863043
-0.023,0.693812942210575
-0.022,0.694131273625964
-0.032,0.691655482259359
-0.033,0.69149882446072
-0.025,0.693235186185763
-0.084,0.692605485791617
-0.083,0.692367028585997
-0.082,0.692157173995394
-0.085,0.692843942997236
-0.081,0.691957638682449
-0.08,0.691758103369504
-0.079,0.691570999360863
-0.078,0.691408265281804
-0.034,0.691342166662081
-0.035,0.691185508863443
-0.036,0.691033952952714
-0.077,0.691245531202746
-0.076,0.691083589722062
-0.075,0.690931949604797
-0.073,0.690687457231632
-0.072,0.69057257730094
-0.071,0.690462113771301
-0.074,0.690809495311882
-0.086,0.693090455941469
-0.087,0.693355483685179
-0.07,0.69035903878319
-0.037,0.690906860170237
-0.038,0.690785520747199
-0.04,0.690542841901122
-0.069,0.690261127389751
-0.039,0.69066418132416
-0.088,0.693632149366115
-0.089,0.693908815047051
-0.091,0.694484278261381
-0.09,0.694185480727987
-0.092,0.694792594068963
-0.068,0.690163215996312
-0.067,0.690065304602872
-0.066,0.689993044424037
-0.097,0.696418838835452
-0.096,0.696084951443549
-0.095,0.695751064051647
-0.098,0.696770779806875
-0.053,0.689765215673313
-0.052,0.68979073474959
-0.051,0.689819997780243
-0.094,0.695423580961345
-0.093,0.695108087515154
-0.045,0.690099369219015
-0.05,0.689859774084921
-0.049,0.6898995503896
-0.048,0.689943102285281
-0.099,0.697142342233156
-0.1,0.697516199454502
-0.047,0.689992808468248
-0.046,0.690042514651215
-0.058,0.689752650229735
-0.059,0.689762719482848
-0.061,0.689793284607248
-0.06,0.689778002045048
-0.062,0.689827251853774
0.014,0.698070159273013
0.015,0.697855139724709
0.016,0.697619802891244
